Filters:



"Parcel ID","Address"
="012200261004014000","1934 16TH AVE N       , Birmingham, AL, 35234"
="012200261004016000","1594 20TH ST N       , Birmingham, AL, 35234"
="012200261006015000","1832 17TH AVE N       , Birmingham, AL, 35234"
="012200261007023000","1592 20TH ST N       , Birmingham, AL, 35234"
="012200261009004000","1475 21ST ST N       , Birmingham, AL, 35234"
="012200261009015000","1409 21ST ST N       , Birmingham, AL, 35234"
="012200261011007000","1579 19TH ST N       , Birmingham, AL, 35234"
="012200261011021000","1556 20TH ST N       , Birmingham, AL, 35234"
="012200261012001000","1849 17TH AVE N       , Birmingham, AL, 35234"
="012200261012002000","1845 17TH AVE N       , Birmingham, AL, 35234"
="012200261012003000","1841 17TH AVE N       , Birmingham, AL, 35234"
="012200261012005000","1621 18TH PL N       , Birmingham, AL, 35234"
="012200261012006000","1613 18TH PL N       , Birmingham, AL, 35234"
="012200261012007000","1609 18TH PL N       , Birmingham, AL, 35234"
="012200261013002000","1649 18TH ST N       , Birmingham, AL, 35234"
="012200261013015000","1644 18TH PL N       , Birmingham, AL, 35234"
="012200261013017000","1652 18TH PL N       , Birmingham, AL, 35234"
="012200261014002000","1609 17TH ST N       , Birmingham, AL, 35204"
="012200261014007000","1610 18TH ST N       , Birmingham, AL, 35204"
="012200261015016000","1924 15TH CT N       , Birmingham, AL, 35234"
="012200261015020000","1544 20TH ST N       , Birmingham, AL, 35234"
="012200261015023000","1550 20TH ST N       , Birmingham, AL, 35234"
="012200261016019000","2012 15TH AVE N       , Birmingham, AL, 35234"
="012200261016058000","1512 FRED L SHUTTLESWORTH DR       , Birmingham, AL, 35234"
="012200261017001000","1951 15TH CT N       , Birmingham, AL, 35234"
="012200261017004000","1933 15TH CT N       , Birmingham, AL, 35234"
="012200261017006000","1909 15TH CT N       , Birmingham, AL, 35234"
="012200261017018000","1502 20TH ST N       , Birmingham, AL, 35234"
="012200261017021000","1528 20TH ST N       , Birmingham, AL, 35234"
="012200261018001000","1807 16TH AVE N       , Birmingham, AL, 35234"
="012200261018002000","1531 18TH PL N       , Birmingham, AL, 35234"
="012200261018005000","1519 18TH PL N       , Birmingham, AL, 35234"
="012200261018008000","1511 18TH PL N       , Birmingham, AL, 35234"
="012200261018011000","1828 15TH AVE N       , Birmingham, AL, 35234"
="012200261019001000","1529 18TH ST N       , Birmingham, AL, 35234"
="012200261019003000","1517 18TH ST N       , Birmingham, AL, 35234"
="012200261019005000","1814 15TH AVE N       , Birmingham, AL, 35234"
="012200261022008000","1512 17TH ST N       , Birmingham, AL, 35204"
="012200261023007000","1427 16TH ST N       , Birmingham, AL, 35204"
="012200261023008000","1425 16TH ST N       , Birmingham, AL, 35204"
="012200261023009000","1414 17TH ST N       , Birmingham, AL, 35204"
="012200261024002000","1425 17TH ST N       , Birmingham, AL, 35204"
="012200261024005000","1405 17TH ST N       , Birmingham, AL, 35204"
="012200261024010000","1414 18TH ST N       , Birmingham, AL, 35204"
="012200261024014000","1424 18TH ST N       , Birmingham, AL, 35204"
="012200261025013000","1432 19TH ST N       , Birmingham, AL, 35234"
="012200261026001000","1925 15TH AVE N       , Birmingham, AL, 35234"
="012200261026008000","1421 19TH ST N       , Birmingham, AL, 35234"
="012200261026015000","1410 20TH ST N       , Birmingham, AL, 35234"
="012200261030009000","1801 14TH CT N       , Birmingham, AL, 35234"
="012200261031006000","1823 14TH AVE N       , Birmingham, AL, 35234"
="012200261031013000","1812 13TH CT N       , Birmingham, AL, 35234"
="012200262003002000","1715 17TH CT N       , Birmingham, AL, 35204"
="012200262003003000","1713 17TH CT N       , Birmingham, AL, 35204"
="012200262003006000","1664 18TH ST N       , Birmingham, AL, 35204"
="012200262006001000","1620 16TH CT N       , Birmingham, AL, 35204"
="012200262007002000","1608 13TH ST N       , Birmingham, AL, 35204"
="012200262007003000","1606 13TH ST N       , Birmingham, AL, 35204"
="012200262007004000","1602 13TH ST N       , Birmingham, AL, 35204"
="012200262008001000","1627 13TH ST N       , Birmingham, AL, 35204"
="012200262008005000","1607 13TH ST N       , Birmingham, AL, 35204"
="012200262008014000","1620 17TH ST N       , Birmingham, AL, 35204"
="012200262009002000","1313 16TH AVE N       , Birmingham, AL, 35204"
="012200262009012000","1212 15TH CT N       , Birmingham, AL, 35204"
="012200262010001000","1518 11TH ST N       , Birmingham, AL, 35204"
="012200262011001000","1127 15TH CT N       , Birmingham, AL, 35204"
="012200262011005000","1521 11TH ST N       , Birmingham, AL, 35204"
="012200262011012000","1512 12TH ST N       , Birmingham, AL, 35204"
="012200262011013000","1516 12TH ST N       , Birmingham, AL, 35204"
="012200262013008000","1424 16TH ST N       , Birmingham, AL, 35204"
="012200262021003000","1703 5TH ST N       , Birmingham, AL, 35204"
="012200262035006000","339 16TH AVE N       , Birmingham, AL, 35204"
="012200262036010000","344 15TH AVE N       , Birmingham, AL, 35204"
="012200263002007000","1321 11TH ST N       , Birmingham, AL, 35204"
="012200263003013000","1310 13TH ST N       , Birmingham, AL, 35204"
="012200263003017000","1330 13TH ST N       , Birmingham, AL, 35204"
="012200263003018000","1334 13TH ST N       , Birmingham, AL, 35204"
="012200263004006000","1315 13TH ST N       , Birmingham, AL, 35204"
="012200263006005000","1213 13TH AVE N       , Birmingham, AL, 35204"
="012200263006006000","1209 13TH AVE N       , Birmingham, AL, 35204"
="012200263006014000","1220 12TH CT N       , Birmingham, AL, 35204"
="012200263006018000","1240 13TH ST N       , Birmingham, AL, 35204"
="012200263007008000","1107 13TH AVE N       , Birmingham, AL, 35204"
="012200263007010000","1267 11TH ST N       , Birmingham, AL, 35204"
="012200263007017000","1126 12TH CT N       , Birmingham, AL, 35204"
="012200263007019000","1128 12TH CT N       , Birmingham, AL, 35204"
="012200263008004000","1129 12TH CT N       , Birmingham, AL, 35204"
="012200263008012000","1224 12TH ST N       , Birmingham, AL, 35204"
